,gender,year,kind,opinion,predict_result,YES
33,male,1st,negative,とにかくキャンパスの場所が僻地で、アクセスが難しい。東京都心へ行くにも１時間程度かかる上に、SFCの最寄駅からSFCに行くためにはバスで15分程度の時間がかかってしまう。バスの本数も決して多いとは言えないため、雨の日はバス列と呼ばれる参勤交代かのような行列がバス停に出現する。,negative,1
34,male,2nd,positive,少ない必修によって取りたい授業を選択できることに加えて、たくさんのアスペクトから多様な講義を自分の意思で履修できる。自分がやりたいことを思い切りできる環境と、それをサポートする講義が揃っている。卒業後のキャリアも様々であらゆる分野にOB・OGがいるので就職の時に楽。,positive,1
35,male,3rd,negative,体育が取れない。この学校は体育を毎週申請することで授業に参加できるが、人数制限があるクラスがとても多い。人数制限がある場合、友達と一緒に授業をとっても友達だけが落とされることがよくある。だから体育システムをもうちょっと便利で使いやすいものにすればいいのにと思う。,positive,0
36,female,1st,positive,必修単位が他学部と比べて少ないので、最初の1年頑張れば体育を除くほとんどの必修を取り終えることができる。だから、2年生になると好きな授業を優先的に取れるし、固定の指定授業がなくなって全休も作りやすくなる。ただ、1限を入れて全休を多くするか、1限を入れずに全休を少なくするかが悩みどころ。,negative,0
37,male,2nd,negative,SFCに通う場合は基本的に湘南台駅、辻堂駅から通うことになるが、ともに大学への道のりがかなり遠い。自転車が限界であり、歩くのは厳しい距離である。そのためバスを利用する学生が多いが、バス列が長すぎてなかなか乗ることが難しい。雨の日にはひどいことになる。さらにその運賃も少々高く不便である。,negative,1
38,female,3rd,positive,半年ごとの履修登録制度。日吉や三田の学部は学年初めに、春学期と秋学期の履修を両方組まなければならない。先の見えない半年後の予定まで決めないといけないのだ。しかし、SFCは半期ごとに履修登録ができるため、自分のその期間の忙しさや予定に合わせてどこに授業を入れるか決めることが出来る。,positive,1
39,male,1st,negative,慶應義塾大学湘南藤沢キャンパスは、最寄駅である湘南台駅から遠くて立地が悪い。徒歩で湘南台駅からキャンパスまで一時間弱かかり、生徒は皆バスに乗るか自転車を使って通学している。特にバスを利用して通学する人が大半を占める。一限のある日や、授業終わりはバスに乗るために長蛇の列に並んで待たなければならない。,negative,1
40,male,1st,positive,キャンパスに自然が多く、勉学に集中できることである。木々や鴨池があり、とても新鮮な空気のに包まれていおり、空きコマなどでは鴨池の周りでゆっくりとした時間を過ごすことで気分をリフレッシュすることができる。そういうことができる環境があることで尚一層勉学に励むことができる。,positive,1
41,male,2nd,negative,SFC生は意欲的であることが求められる。まず、カリキュラムの自由度がとても高いので、適当にとっていると一貫性を欠いた授業選択になる。さらに、何か一つに特化してはいないので、それぞれの学問を授業だけで深く学ぶということができない。自分が何を学びたいかを明確にした上で、独学することが要求される。,negative,1
42,male,1st,positive,SFCは研究にガッツリ取り組もうと思えば深夜まで研究をすることができる。深夜まで研究をする人の多くが残留をする。残留とは研究などをするためにキャンパスに泊まることである。残留をする人は主に理系の研究会に所属している人が多い印象をうける。24時間好きなときに研究できるのはSFCだけである。,positive,1
43,male,1st,negative,SFCは緑の多い自然に恵まれた場所にある。また、周辺では畜産も行われている。そのため、SFCはしばしば家畜の臭いに包まれる。幸い、毎日臭いわけではなく、全くの無臭の日もある。しかし、湿気の高い日は高い確率で悪臭が発生する。臭いのしないときがあったとしても、雨が降り出せば一瞬にして臭いが学内を包む。,negative,1
44,male,2nd,positive,江ノ島や鎌倉に割と近い場所に位置しているため学校帰りに気軽に海に行き花火をしたり、観光地を散策することができる。また、キャンパス内に緑が多いため目にもよくパソコンをよく使う反面、身を休めることもできる。虫も普通に生息しているためのびのびと生活することができる。,positive,1
45,female,4th,negative,キャンパスの周辺に飲食店がないため、食事の選択肢が限られてしまっている。そのため生協や食堂などに人が集中し、スムーズに食事を購入することができなくなっている。昼食時間が設定されていないSFCにとって、混雑によるタイムロスは様々な問題を引き起こしてしまうため生徒のストレスとなっている。,negative,1
46,male,1st,positive,最先端の技術が生徒に提供されている。メディアセンターにある「Fab space」では3Dプリンターやレーザーカッター、UVプリンターなどの設備があり、生徒は誰でも簡単に使用できる。実際に使うことによって、今まで体験したことのない刺激で飛躍的に創造性が育まれる。,positive,1
47,female,2nd,negative,とにかく遠い。湘南台という立地もなかなかだが、それ以上に湘南台駅からバスで15分くらいかかる。しかもバスは大学専用でなく、普通の私営バスなので、別途交通費としてバス代が必要となる。さらに授業の多い曜日や時間帯となるとバスを乗るのに待つ人の列、いわゆる「バス列」が発生し、遅延遅刻も伴う事がある。,negative,1
48,male,1st,positive,緑が多い。現代の都会では、コンクリートの建物が一面に立ち並び、緑を目にするところは公園くらいである。SFCのキャンパスは、国立公園の敷地内に建てられた文化館のようである。鴨池付近では、スクリーンを見続けることから引き起こされる目の疲れを休め、空いた時間に休憩を取ることができる。,positive,1
49,male,3rd,negative,一つの分野に対して体系的に学習できるようなカリキュラムが少ない。多くの授業は入門だけで終わってしまったり、基礎知識は自分でつけて応用の授業に臨むといった形式が多い。自習の大切さは理解できるが、多少は体系的なカリキュラムがあってもいいのではないかと思うことがある。,negative,1
50,male,1st,positive,SFCには様々な分野を専門とする学生、教授が共存しており自分のやりたいことへのアプローチが多岐にわたる。SFCの理念である問題発見、解決のできる人材を育成するという点において手段、方法の視野を広げるということは、社会に出た際にも自身の研究の発展にとても必要となってくる。,positive,1
51,female,3rd,negative,キャンパスの周りに何もないため、空きコマの時間を潰すということが非常に難しい。メディアで勉強するのもいいが、メディアだと基本的に飲食禁止で、話したり寝たりすることもはばかられるため、ゆったりした自分の時間がとれない。サブウェイに行くには席が少なすぎる。学食に行くには閉店が早すぎる。,negative,1
52,male,3rd,positive,SFCは従来の大学とは違うカリキュラムを持っている。一般の大学は、専攻科目の勉強で忙しくなるので、自分がいろんな分野に興味があっても、一つを選ばなければならない。しかし、SFCでは卒業まで２つ以上の分野の勉強をすることができる。もっと広い知識や経験を積むことができるのである。,positive,1
53,male,2nd,negative,最寄り駅からキャンパスまでの交通手段がバスに限られており、通学時にとても混雑し、バス列も頻繁に長蛇の列となる。このバスは学校のバスではないため、便数も時間別に増便されるということもなく、市営のバスを活用しているため、混雑によるトラブルもたまに起こってしまっている。,negative,1
54,male,3rd,positive,SFC景色が美しい。SFCの景色を綺麗にしてくれる要素の一つは鴨池である。鴨池は周りが綺麗な緑色の草と木に囲まれ、グレーコンクリートの多いキャンパスの中で学生みんなに自然を与えてくれるありがたい存在である。特に、夕暮れが鴨池に光を照らす光景はその中でも最高である。,negative,0
55,male,1st,negative,食堂、生協の営業時間が短い。食堂の営業時間は午後3時まで、生協は午後6時までである。メディアセンターが午後11時まで開放されていることを考えると、これらの終了時間は少し早いと感じる。勉強に疲れ一休みしたい学生が、これより遅い時間でも、食事休憩をとれるようになると良い。,negative,1
56,male,3rd,positive,多彩な才能を持った個性的な学生が集っており、大学を通じた人間関係では自分に全く縁のなかった世界を垣間見ることがしばしばあり、刺激的な大学生活を送ることができる。AO入試を日本で初めて採用したこともあり、ほとんどの学生が何らかの得意分野、あるいは専門分野を既に有しており、日々新たな知見が得られる。,positive,1
57,male,3rd,negative,キャンパスの周りにほとんど何もない。ご飯を食べる場所もほとんどないし、遊ぶような場所もほとんどないのがよくない。辻堂を使っている私は、遊んだりご飯を食べる時は湘南台に合わせることがほとんどだから、周りがもっと充実していればわざわざ湘南台に行く回数も少なくて済むし、助かっていたと思う。,negative,1
58,male,3rd,positive,入学時に専攻が決められていないため、大学での授業を通じて自分の将来についてじっくり考えることのできるカリキュラムが設定されている。研究会は多彩な分野が用意されており、全く興味のなかった分野の研究会でも複数入ったり、途中で変更したりできるため、自分が本当にやりたいことを見つけることができる。,positive,1
59,female,3rd,negative,キャンパスが都内に比べ自然の多い場所にあり、近隣に農業用地があるせいか、雨の日など湿気の多い日には肥料のにおいなどがキャンパス内にまでただよってくることがある。さらに、風のない日にはそのにおいがなかなか無くならないため本来の長所である気持ちのリフレッシュが難しい。,negative,1
